   53   845   882	RPs/Img: 17.06	IOU: 70.18%	Recall:95.80%	Precision:91.75%	RMSE:0.35 avgRMSE:0.16	C0: 1.00  C1: 0.80  C2: 0.96  C3: 0.97  C4: 0.95 
   54   849   886	RPs/Img: 16.82	IOU: 70.21%	Recall:95.82%	Precision:91.78%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.83  C2: 0.96  C3: 0.97  C4: 0.95 
   55   863   900	RPs/Img: 16.77	IOU: 70.21%	Recall:95.89%	Precision:91.91%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.86  C2: 0.96  C3: 0.97  C4: 0.95 
   56   873   910	RPs/Img: 16.67	IOU: 70.18%	Recall:95.93%	Precision:91.89%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.86  C2: 0.97  C3: 0.97  C4: 0.95 
   57   880   917	RPs/Img: 16.50	IOU: 70.19%	Recall:95.97%	Precision:91.95%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.86  C2: 0.97  C3: 0.97  C4: 0.95 
   58   883   920	RPs/Img: 16.27	IOU: 70.17%	Recall:95.98%	Precision:91.98%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 0.86  C2: 0.97  C3: 0.97  C4: 0.95 
   59   900   937	RPs/Img: 16.28	IOU: 70.23%	Recall:96.05%	Precision:92.12%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 0.86  C2: 0.97  C3: 0.97  C4: 0.95 
   60   916   954	RPs/Img: 16.30	IOU: 70.23%	Recall:96.02%	Precision:92.15%	RMSE:0.24 avgRMSE:0.14	C0: 1.00  C1: 0.86  C2: 0.96  C3: 0.97  C4: 0.95 
   61   930   970	RPs/Img: 16.27	IOU: 70.15%	Recall:95.88%	Precision:92.17%	RMSE:0.50 avgRMSE:0.15	C0: 1.00  C1: 0.86  C2: 0.96  C3: 0.97  C4: 0.95 
   62   945   985	RPs/Img: 16.29	IOU: 70.18%	Recall:95.94%	Precision:92.11%	RMSE:0.00 avgRMSE:0.15	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.95 
   63   950   990	RPs/Img: 16.11	IOU: 70.20%	Recall:95.96%	Precision:92.14%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.95 
   64   960  1000	RPs/Img: 16.02	IOU: 70.23%	Recall:96.00%	Precision:92.22%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.97  C3: 0.97  C4: 0.95 
   65   970  1010	RPs/Img: 15.94	IOU: 70.24%	Recall:96.04%	Precision:92.21%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.97  C3: 0.97  C4: 0.95 
   66   982  1022	RPs/Img: 15.91	IOU: 70.21%	Recall:96.09%	Precision:92.12%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.97  C3: 0.97  C4: 0.95 
   67  1003  1044	RPs/Img: 16.00	IOU: 70.20%	Recall:96.07%	Precision:92.19%	RMSE:0.21 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.95 
   68  1012  1053	RPs/Img: 15.93	IOU: 70.20%	Recall:96.11%	Precision:92.08%	RMSE:0.00 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.95 
   69  1024  1066	RPs/Img: 15.87	IOU: 70.21%	Recall:96.06%	Precision:92.17%	RMSE:0.28 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.96 
   70  1034  1077	RPs/Img: 15.80	IOU: 70.24%	Recall:96.01%	Precision:92.16%	RMSE:0.30 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.96 
   71  1045  1089	RPs/Img: 15.75	IOU: 70.27%	Recall:95.96%	Precision:92.15%	RMSE:0.29 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.96 
   72  1059  1104	RPs/Img: 15.74	IOU: 70.29%	Recall:95.92%	Precision:92.17%	RMSE:0.26 avgRMSE:0.14	C0: 1.00  C1: 0.88  C2: 0.96  C3: 0.97  C4: 0.95 
