   90   252  1298	RPs/Img: 16.74	IOU: 23.47%	Recall:19.41%	Precision:16.55%	RMSE:2.55 avgRMSE:1.99	C0: 0.18  C1: 0.11  C2: 0.00  C3: 0.22  C4: 0.33 
   91   255  1321	RPs/Img: 16.76	IOU: 23.41%	Recall:19.30%	Precision:16.54%	RMSE:2.81 avgRMSE:2.00	C0: 0.17  C1: 0.11  C2: 0.00  C3: 0.22  C4: 0.33 
   92   262  1337	RPs/Img: 16.75	IOU: 23.62%	Recall:19.60%	Precision:16.82%	RMSE:1.44 avgRMSE:1.99	C0: 0.18  C1: 0.11  C2: 0.00  C3: 0.22  C4: 0.33 
   93   262  1339	RPs/Img: 16.80	IOU: 23.64%	Recall:19.57%	Precision:16.59%	RMSE:1.41 avgRMSE:1.98	C0: 0.18  C1: 0.11  C2: 0.00  C3: 0.22  C4: 0.33 
   94   262  1340	RPs/Img: 16.67	IOU: 23.64%	Recall:19.55%	Precision:16.54%	RMSE:1.00 avgRMSE:1.97	C0: 0.18  C1: 0.10  C2: 0.00  C3: 0.22  C4: 0.33 
   95   265  1344	RPs/Img: 16.58	IOU: 23.71%	Recall:19.72%	Precision:16.65%	RMSE:0.50 avgRMSE:1.96	C0: 0.21  C1: 0.10  C2: 0.00  C3: 0.22  C4: 0.33 
   96   265  1345	RPs/Img: 16.42	IOU: 23.69%	Recall:19.70%	Precision:16.64%	RMSE:1.00 avgRMSE:1.95	C0: 0.21  C1: 0.10  C2: 0.00  C3: 0.21  C4: 0.33 
   97   265  1347	RPs/Img: 16.44	IOU: 23.69%	Recall:19.67%	Precision:16.45%	RMSE:1.00 avgRMSE:1.94	C0: 0.21  C1: 0.10  C2: 0.00  C3: 0.21  C4: 0.33 
   98   266  1355	RPs/Img: 16.56	IOU: 23.68%	Recall:19.63%	Precision:16.23%	RMSE:1.54 avgRMSE:1.94	C0: 0.21  C1: 0.10  C2: 0.00  C3: 0.21  C4: 0.33 
   99   272  1387	RPs/Img: 16.66	IOU: 23.58%	Recall:19.61%	Precision:16.33%	RMSE:3.33 avgRMSE:1.95	C0: 0.21  C1: 0.09  C2: 0.00  C3: 0.21  C4: 0.33 
  100   278  1416	RPs/Img: 16.70	IOU: 23.54%	Recall:19.63%	Precision:16.48%	RMSE:2.91 avgRMSE:1.96	C0: 0.22  C1: 0.09  C2: 0.00  C3: 0.24  C4: 0.33 
  101   280  1426	RPs/Img: 16.64	IOU: 23.49%	Recall:19.64%	Precision:16.50%	RMSE:1.48 avgRMSE:1.95	C0: 0.21  C1: 0.09  C2: 0.00  C3: 0.24  C4: 0.33 
